Metric_Name,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,Year_2_Total,Year_3_Expansion,Description
Active_B2B_Clients_Count,2,4,6,9,12,15,18,20,22,25,25,25,60,150,Количество активных банков и МФО на платформе
Base_Scoring_Tx_Count,30000,60000,90000,110000,130000,140000,150000,150000,150000,160000,160000,160000,4500000,10000000,Запросы ФНС+ФССП по тарифу 70 руб.
Premium_Scoring_Tx_Count,5000,15000,25000,35000,45000,50000,55000,55000,55000,55000,55000,55000,2000000,6000000,Запросы Госуслуги+LSTR по тарифу 250 руб.
SaaS_Base_Revenue_RUB,2100000,4200000,6300000,7700000,9100000,9800000,10500000,10500000,10500000,11200000,11200000,11200000,315000000,700000000,Выручка от транзакций базового контура
SaaS_Premium_Revenue_RUB,1250000,3750000,6250000,8750000,11250000,12500000,13750000,13750000,13750000,13750000,13750000,13750000,500000000,1500000000,Выручка от транзакций премиум контура
TOTAL_GROSS_REVENUE_RUB,3350000,7950000,12550000,16450000,20350000,22300000,24250000,24250000,24250000,24950000,24950000,24950000,815000000,2200000000,Совокупный транзакционный доход ядра
Variable_SMEV_Gateway_Costs,950000,2250000,3550000,4650000,5750000,5300000,6150000,6150000,6150000,6370000,6370000,6370000,230000000,620000000,Прямые косты на шлюзы данных
Fixed_Core_R_D_Salary,4500000,4500000,4500000,4500000,4500000,4500000,4500000,4500000,4500000,4500000,4500000,4500000,75000000,110000000,ФОТ ИИ-команды ядра разработки
IT_Privileged_Insurance_Tax,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000,5700000,8360000,Льготные страховые взносы Минцифры (7.6%)
Infrastructure_Yandex_WAF,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,12000000,24000000,Аренда Финтех-облака ГОСТ Р 57580
Marketing_B2B_Acquisition,500000,500000,500000,1000000,1000000,1000000,1000000,1000000,1000000,1500000,1500000,1500000,18000000,35000000,Привлечение банков и МФО (Roadshow)
TOTAL_OPERATIONAL_EXPENSES,7092000,8392000,9692000,11292000,12392000,11942000,12792000,12792000,12792000,13512000,13512000,13512000,340700000,797360000,Совокупный OpEx ядра скоринга
EARNINGS_BEFORE_TAXES_EBT,-3742000,-442000,2858000,5158000,7958000,10358000,11458000,11458000,11458000,11438000,11438000,11438000,474300000,1402640000,Прибыль до налогообложения
IT_Privileged_Income_Tax,0,0,142900,257900,397900,517900,572900,572900,572900,571900,572300,572900,23715000,70132000,Льготный налог на прибыль ИТ-дочки (5%)
NET_PROFIT_RUB,-3742000,-442000,2715100,4900100,7560100,9840100,10885100,10885100,10885100,10866100,10865700,10865100,450585000,1332508000,Чистая нераспределенная прибыль ядра

